area,zone,name,address,phone,service,discription,latitude,longitude
0,5,利島,東京都利島村1481,090-0000-0010,利島ダイビングサービス,島周辺に居ついている野生のイルカとのドルフィンスイムで有名な島。黒潮で温暖な海ではウミガメとの遭遇率も高い。,34.52401407,139.2764904
0,5,小笠原,東京都小笠原村父島東町,090-0000-0011,小笠原ダイビングサービス,世界自然遺産に登録された自然豊かな海。夏には「ボニン・ブルー」と呼ばれる透明度の中回遊魚の群れが舞い、冬はホエールウォッチングが楽しめる。,27.07680181,142.2173639
1,6,美国,北海道積丹郡積丹町,090-0000-0012,クラブキッズ,きれいな〈積丹ブルー〉が魅力。冬は海獣類のトドや巨大なミズダコ、ホテイウオなど見ることができます。,43.23614973,140.4547097
1,7,ウトロ,北海道目梨郡羅臼町海岸町,090-0000-0013,ロビンソン,神秘の流氷ダイビング。流氷と一緒にトドやアザラシにも出会えるかもしれません。流氷の下では海の妖精クリオネが待っています。,44.07335997,144.9925555
2,8,男鹿半島,秋田県男鹿市,090-0000-0014,男鹿市ダイビングセンター,日本百景の雄大な景色が水中にも広がるダイナミックな地形と、対馬海流による魚群が優雅です。,39.93411401,139.7822751
2,9,女川,宮城県牡鹿郡女川町竹浦,090-0000-0015,宮城ダイビングサービス,絶景のリアス式海岸。黒潮と親潮がちょうどぶつかるので、海中の栄養が豊富で魚がいつも群れてます。,38.44116468,141.4544166
3,10,越前海岸,福井県丹生郡越前町,090-0000-0016,南越前ダイビングパーク,透明度の高い日が多く「越前ブルー」と呼ばれています。秋には多種多様なウミウシやタツノオトシゴの幼魚が見られ、ダイビング後の温泉も充実。,35.95707238,135.9772886
3,11,能登半島,石川県七尾市能登島野崎町,090-0000-0017,能登ダイビング,絶滅危惧種のホソエガサなどの生物観察がおすすめ。変化に富んだ海岸線が多く、水中の地形も面白いです。,37.42156449,136.9497735
4,12,賢島,三重県志摩市阿児町,090-0000-0018,賢島ダイバーズ,安定した海況がウリで講習にもおすすめです。 養分が豊富な環境なので、他のポイインとでは見られない生物観察ができます。,34.30964459,136.8167527
4,13,本栖湖,山梨県南都留郡富士河口湖町,090-0000-0019,本栖湖ダイブリゾート,世界遺産、富士山を望む絶景ポイント。標高900mの場所にあるので日本では珍しい淡水＆アルティチュードダイビングが楽しめます。,35.46564216,138.5830754
5,14,冠島,京都府舞鶴市野原,090-0000-0020,舞鶴ダイブズ,オオミズナギドリ最後の楽園として有名な無人島。近年、イルカの群れも回遊しています。島独特の深いドロップオフでは、ダイナミックなダイビングが楽しめます。,35.68259697,135.424959
5,15,串本,和歌山県東牟婁郡串本町,090-0000-0021,串本ダイビングサービス,本州では唯一亜熱帯地域に分布されており、魚の種類が多い。黒潮の影響を強く受け、ダイナミックな地形と大物遭遇率が高い外洋ポイントもあり楽しめます。,33.48101275,135.7446465
6,16,瀬戸内,香川県三豊市詫間町,090-0000-0022,瀬戸内ダイビング,透明度はさほど良くはないですが、養分が豊富な海のおかげで魚影は濃く、じっくりカメラ派にもおすすめです。,34.2337385,133.2778193
6,17,青海島,山口県長門市青海島,090-0000-0023,青海島ダイビングセンター,景勝地で有名な青海島。独特な地形を通して入れ替わるウミウシなどのマクロ生物がじっくりカメラ派におすすめです。,34.41738532,131.2011346
7,18,西海,愛媛県南宇和郡愛南町,090-0000-0024,西海ダイビング,色とりどりのテーブルサンゴとソフトコーラルの癒しスポット。アーチや洞窟などバリエーションも豊富で飽きません。,33.24530364,134.1761342
7,19,柏島,高知県幡多郡大月町,090-0000-0025,日本中のダイバーが集まるマクロの聖地。なぜか珍しい生物にわんさか出会えるマクロ派やカメラ派にはたまらない奥深い海です。,マクロ生物の聖地,32.76983745,132.6230704
8,20,田浦ビーチ,大分県大分市大字,090-0000-0026,大分マリン,県外ダイバーにも人気の安定のビーチポイント。四季折々の表情を見せ、年中現れるコブダイも人気です。,33.25777893,131.5476576
8,21,錦江湾,鹿児島県鹿児島市,090-0000-0027,鹿児島ダイバーズ,活火山・桜島を抱く海でしか見られない奇景絶景がウリ。人口６０万の鹿児島市の街並みを目前に潜る海は、豊富な栄養が織りなす絶景です。,31.40296188,130.6595446
9,22,チービシ諸島,沖縄県島尻郡渡嘉敷村,090-0000-0028,マリンポイント,那覇からボートで30分と近く半日便も可。サンゴと熱帯魚が織りなす癒し空間がお手軽に楽しめます。,26.27720885,127.5410896
9,23,宮古島,沖縄県宮古島市,090-0000-0029,宮古ダイブ,「通り池」に代表される洞窟やケーブなどの個性豊かな地形ポイント。水中景観がフォトジェニックな場所ばかりで神秘的。,24.78220913,125.3272773
